Seconds.milliseconds since 1970,Queue size of CMController,Acceleration value in x-direction,Acceleration value in y-direction,Acceleration value in z-direction,Label used for the current sample
1352711958.787,0,-0.020644,0.040527,-0.036442,0
1352711958.798,0,-0.051192,0.036015,-0.027316,0
1352711958.809,0,-0.075337,0.018191,-0.025559,0
1352711958.819,0,-0.083488,0.012519,-0.031148,0
1352711958.830,0,-0.078267,0.021631,-0.042886,0
1352711958.841,0,-0.079566,0.022624,-0.043706,0
1352711958.852,0,-0.076050,0.025284,-0.019154,0
1352711958.862,0,-0.068173,0.019286,-0.013070,0
1352711958.873,0,-0.065777,0.018960,0.005497,0
1352711958.884,0,-0.063107,0.017080,0.035661,0
1352711958.895,0,-0.061374,0.015074,0.051157,0
1352711958.905,0,-0.038926,0.022272,0.029438,0
1352711958.916,0,-0.030271,0.027821,0.006018,0
1352711958.927,0,-0.032812,0.037188,-0.008888,0
1352711958.938,0,-0.048066,0.049190,-0.013372,0
1352711958.948,0,-0.035366,0.049054,0.011002,0
1352711958.959,0,-0.035048,0.025892,0.052865,0
1352711958.970,0,-0.044929,0.030061,0.057804,0
1352711958.981,0,-0.065402,0.033954,0.047349,0
1352711958.991,0,-0.082745,0.019637,0.029838,0
1352711959.002,0,-0.084765,0.009693,-0.005543,0
1352711959.013,0,-0.075643,0.016589,-0.026539,0
1352711959.024,0,-0.054006,0.027945,-0.045448,0
1352711959.034,0,-0.044332,0.030758,-0.065219,0
1352711959.045,0,-0.039417,0.029919,-0.078408,0
1352711959.056,0,-0.041572,0.029475,-0.073334,0
1352711959.067,0,-0.035248,0.028747,-0.058048,0
1352711959.077,0,0.004800,0.017498,-0.062455,0
1352711959.088,0,0.031575,0.004572,-0.055182,0
1352711959.099,0,-0.001532,0.010286,-0.021460,0
1352711959.110,0,-0.066532,0.002089,0.000574,0
1352711959.120,0,-0.094296,-0.021608,0.009069,0
1352711959.131,0,-0.097108,-0.025612,-0.006670,0
1352711959.142,0,-0.084682,-0.014158,-0.036387,0
1352711959.153,0,-0.065149,-0.006292,-0.065832,0
1352711959.163,0,-0.023382,-0.012369,-0.099627,0
1352711959.174,0,-0.002870,-0.005192,-0.110220,0
1352711959.185,0,0.007027,0.025909,-0.076404,0
1352711959.195,0,0.015424,0.015434,-0.046153,0
1352711959.206,0,0.028912,0.000361,-0.015683,0
1352711959.217,0,0.026012,-0.005146,-0.010485,0
1352711959.228,0,0.011583,0.003748,-0.011083,0
1352711959.238,0,0.003757,0.001616,-0.002984,0
1352711959.249,0,0.015964,-0.009356,-0.005513,0
1352711959.260,0,0.000607,0.003427,-0.048640,0
1352711959.271,0,-0.022985,0.006118,-0.018643,0
1352711959.281,0,-0.059441,0.008211,0.038223,0
1352711959.292,0,-0.066898,0.002108,0.071144,0
1352711959.303,0,-0.071177,-0.010989,0.047045,0
1352711959.314,0,-0.079074,0.002345,-0.014570,0
1352711959.324,0,-0.082903,0.017214,-0.057062,0
1352711959.335,0,-0.061657,0.016571,-0.079868,0
1352711959.346,0,-0.042299,0.014731,-0.079067,0
1352711959.357,0,-0.018998,0.014480,-0.052575,0
1352711959.367,0,-0.021065,0.023771,-0.024192,0
1352711959.378,0,-0.014538,0.051433,-0.011626,0
1352711959.389,0,-0.020641,0.063030,0.001911,0
1352711959.400,0,-0.025111,0.066853,0.033744,0
1352711959.410,0,-0.033820,0.072134,0.016983,0
1352711959.421,0,-0.042471,0.063043,-0.036434,0
1352711959.432,0,-0.058267,0.035069,-0.008954,0
1352711959.443,0,-0.072371,-0.001896,0.004304,0
1352711959.453,0,-0.069796,-0.013801,-0.003004,0
1352711959.464,0,-0.059194,0.002202,-0.031435,0
1352711959.475,0,-0.035416,0.026111,-0.045643,0
1352711959.486,0,-0.012900,0.037621,-0.027226,0
1352711959.496,0,-0.012156,0.029553,-0.006927,0
1352711959.507,0,-0.036682,0.006199,0.018168,0
1352711959.518,0,-0.116934,0.002144,0.031635,0
1352711959.529,0,-0.094557,0.007704,0.003900,0
1352711959.539,0,-0.031150,-0.031080,0.009660,0
1352711959.550,0,-0.013010,-0.018613,0.009701,0
1352711959.561,0,-0.030782,-0.005499,0.031040,0
1352711959.572,0,-0.037824,0.008581,0.055605,0
1352711959.582,0,-0.036486,0.028134,0.082354,0
1352711959.593,0,-0.073182,0.066514,0.126516,0
1352711959.604,0,-0.045110,-0.010302,0.022082,0
1352711959.615,0,0.005400,-0.042227,0.056413,0
1352711959.625,0,-0.011328,-0.035835,-0.003468,0
1352711959.636,0,-0.047200,0.017819,-0.046205,0
1352711959.647,0,-0.082423,0.031264,-0.067806,0
1352711959.658,0,-0.056472,0.035807,-0.152922,0
1352711959.668,0,-0.029065,0.043044,-0.154345,0
1352711959.679,0,0.000180,0.053875,-0.095781,0
1352711959.690,0,0.037865,0.067096,-0.013736,0
1352711959.701,0,0.063318,0.065857,0.067008,0
1352711959.711,0,0.078332,0.049224,0.099727,0
1352711959.722,0,0.079657,0.017967,0.090885,0
1352711959.733,0,0.061679,-0.017979,0.047889,0
1352711959.743,0,0.022989,-0.035568,0.001012,0
1352711959.754,0,-0.045134,-0.035876,-0.041462,0
1352711959.765,0,-0.102347,-0.026352,-0.088044,0
1352711959.776,0,-0.124356,0.010790,-0.110511,0
1352711959.786,0,-0.088783,0.016465,-0.085221,0
1352711959.797,0,-0.040474,0.018272,-0.065472,0
1352711959.808,0,-0.010055,0.017296,-0.036719,0
1352711959.819,0,-0.014013,0.071020,0.000415,0
1352711959.829,0,0.015663,0.042830,0.048754,0
1352711959.840,0,0.032670,-0.018763,0.107528,0
1352711959.851,0,0.021106,-0.040436,0.048090,0
1352711959.862,0,-0.010568,-0.027915,0.014754,0
1352711959.872,0,-0.034671,-0.004815,-0.013423,0
1352711959.883,0,-0.048658,0.014980,-0.025379,0
1352711959.894,0,-0.045705,0.020268,-0.013718,0
1352711959.905,0,-0.037774,0.011984,-0.014706,0
1352711959.915,0,-0.029698,0.003806,-0.010660,0
1352711959.926,0,-0.026107,-0.003413,-0.006379,0
1352711959.937,0,-0.013188,-0.005427,-0.018181,0
1352711959.948,0,-0.001417,-0.009150,-0.029506,0
1352711959.958,0,0.002535,-0.000079,-0.024088,0
1352711959.969,0,-0.006363,0.008495,-0.013271,0
1352711959.980,0,-0.026326,0.014366,-0.015986,0
1352711959.991,0,-0.039525,0.013543,-0.016997,0
1352711960.001,0,-0.048005,0.008661,-0.000163,0
1352711960.012,0,-0.037031,0.014828,0.005171,0
1352711960.023,0,-0.023885,0.025673,-0.016782,0
1352711960.034,0,-0.010792,0.024351,-0.016125,0
1352711960.044,0,-0.015947,0.021181,-0.012617,0
1352711960.055,0,-0.018731,0.016926,-0.017909,0
1352711960.066,0,-0.019418,0.011790,-0.024279,0
1352711960.077,0,-0.030239,0.010582,-0.020776,0
1352711960.087,0,-0.026617,0.014180,-0.001534,0
1352711960.098,0,-0.017126,0.012030,0.004399,0
1352711960.109,0,-0.009262,0.010093,0.001928,0
1352711960.120,0,-0.015290,0.023455,-0.000765,0
1352711960.130,0,-0.017930,0.020240,0.064556,0
1352711960.141,0,-0.014207,-0.003629,0.065387,0
1352711960.152,0,-0.019534,-0.003558,0.035392,0
1352711960.163,0,-0.014635,-0.002636,0.027499,0
1352711960.173,0,-0.010646,0.003107,0.023744,0
1352711960.184,0,-0.012520,0.006963,0.003336,0
1352711960.195,0,-0.015954,0.006790,-0.023272,0
1352711960.206,0,-0.023786,0.000352,-0.017144,0
1352711960.216,0,-0.027803,0.004833,-0.013013,0
1352711960.227,0,-0.019048,0.007252,-0.026858,0
1352711960.238,0,-0.000451,0.010365,-0.041580,0
1352711960.249,0,-0.003228,0.021270,-0.035111,0
1352711960.259,0,-0.007875,0.019863,-0.033256,0
1352711960.270,0,-0.014431,0.019039,-0.024854,0
1352711960.281,0,-0.013668,0.010675,0.004425,0
1352711960.291,0,-0.012264,0.012440,0.008088,0
1352711960.302,0,-0.002695,0.000655,-0.026630,0
1352711960.313,0,0.006605,0.009643,-0.063259,0
1352711960.324,0,0.017328,0.038786,-0.063988,0
1352711960.334,0,0.019034,0.052024,-0.050666,0
1352711960.345,0,0.018964,0.056035,-0.012097,0
1352711960.356,0,-0.004120,0.037841,0.030740,0
1352711960.367,0,-0.084839,0.008098,-0.075467,0
1352711960.377,0,-0.072995,0.028961,-0.032760,0
1352711960.388,0,-0.053668,0.036922,0.004739,0
1352711960.399,0,-0.011096,0.010483,0.032081,0
1352711960.410,0,0.026600,-0.007101,0.061069,0
1352711960.420,0,0.043746,0.019241,0.113740,0
1352711960.431,0,0.041743,0.060223,0.140518,0
1352711960.442,0,0.003113,0.074708,0.117788,0
1352711960.453,0,-0.069410,0.061304,0.040643,0
1352711960.463,0,-0.121268,0.046938,0.013500,0
1352711960.474,0,-0.117522,0.039717,0.048087,0
1352711960.485,0,-0.112414,0.022836,0.063811,0
1352711960.496,0,-0.141126,0.030235,0.119240,0
1352711960.506,0,-0.194756,0.035159,0.123952,0
1352711960.517,0,-0.199161,0.013622,0.120818,0
1352711960.528,0,-0.188152,-0.010684,0.126815,0
1352711960.539,0,-0.113725,-0.040777,0.121004,0
1352711960.549,0,0.040313,-0.064707,0.064083,0
1352711960.560,0,0.108618,-0.071874,0.001843,0
1352711960.571,0,0.091441,-0.060306,-0.036983,0
1352711960.582,0,0.057153,-0.052204,-0.083772,0
1352711960.592,0,0.020119,-0.033463,-0.139183,0
1352711960.603,0,-0.028763,0.014995,-0.208356,0
1352711960.614,0,-0.002730,0.010817,-0.200523,0
1352711960.625,0,0.020704,-0.010795,-0.116668,0
1352711960.635,0,0.031140,-0.009971,-0.061615,0
1352711960.646,0,0.029202,0.000705,-0.030343,0
1352711960.657,0,0.036866,0.005430,0.003873,0
1352711960.668,0,0.045961,0.019126,-0.002764,0
1352711960.678,0,0.084748,0.013393,-0.023408,0
1352711960.689,0,0.123477,0.002090,-0.048668,0
1352711960.700,0,0.144040,0.003174,-0.035461,0
1352711960.711,0,0.120146,0.007977,-0.004155,0
1352711960.721,0,0.028423,0.026780,0.072717,0
1352711960.732,0,-0.010425,0.021336,0.097672,0
1352711960.743,0,-0.042277,0.028561,0.085416,0
1352711960.754,0,-0.074798,0.052743,0.076892,0
1352711960.764,0,-0.077660,0.042824,0.023904,0
1352711960.775,0,-0.080238,0.017082,-0.044065,0
1352711960.786,0,-0.068176,0.008091,-0.085067,0
1352711960.797,0,-0.012099,0.018077,-0.121523,0
1352711960.807,0,0.068135,0.048899,-0.154625,0
1352711960.818,0,0.143898,0.077521,-0.170517,0
1352711960.829,0,0.187053,0.095481,-0.172753,0
1352711960.840,0,0.181393,0.112953,-0.111838,0
1352711960.850,0,0.149663,0.123287,-0.056191,0
1352711960.861,0,0.072742,0.097119,-0.022152,0
1352711960.872,0,0.009721,0.055553,0.014673,0
1352711960.882,0,0.008125,0.028252,0.055484,0
